Survey	Location	id	Serial	Morph	C_Age	TL_mm	M_radius	Age	Radius	L	TL_inch	L2
9	Klondike Reef	113	LS04-2-04	Humper	27	449	1.67135	24	1.63011	437.5138557	17.22495495	438.7274269
9	Klondike Reef	113	LS04-2-04	Humper	27	449	1.67135	25	1.64007	440.2879099	17.33416968	441.2117086
9	Klondike Reef	113	LS04-2-04	Humper	27	449	1.67135	26	1.65002	443.059179	17.44327476	443.6913741
9	Klondike Reef	113	LS04-2-04	Humper	27	449	1.67135	27	1.67135	449	17.67716535	449
9	Klondike Reef	114	LS04-2-05	Humper	13	422	1.38063	1	0.36754	95.86597031	3.7742508	103.0701552
9	Klondike Reef	114	LS04-2-05	Humper	13	422	1.38063	2	0.55486	156.1680426	6.148348135	165.35758
9	Klondike Reef	114	LS04-2-05	Humper	13	422	1.38063	3	0.65882	189.6348558	7.465939203	199.0192451
9	Klondike Reef	114	LS04-2-05	Humper	13	422	1.38063	4	0.76793	224.7595574	8.848801473	233.8104608
9	Klondike Reef	114	LS04-2-05	Humper	13	422	1.38063	5	0.85274	252.0616007	9.923685067	260.5273939
9	Klondike Reef	114	LS04-2-05	Humper	13	422	1.38063	6	0.93434	278.3302805	10.95788506	285.9959448
9	Klondike Reef	114	LS04-2-05	Humper	13	422	1.38063	7	1.01819	305.3232805	12.0206016	311.9480882
9	Klondike Reef	114	LS04-2-05	Humper	13	422	1.38063	8	1.11246	335.670688	13.21538142	340.8850881
9	Klondike Reef	114	LS04-2-05	Humper	13	422	1.38063	9	1.18364	358.5849604	14.11751812	362.579821
9	Klondike Reef	114	LS04-2-05	Humper	13	422	1.38063	10	1.23967	376.6221433	14.82764344	379.5699125
9	Klondike Reef	114	LS04-2-05	Humper	13	422	1.38063	11	1.28677	391.7845798	15.42458976	393.7958296
9	Klondike Reef	114	LS04-2-05	Humper	13	422	1.38063	12	1.33094	406.0037904	15.9844012	407.0919982
9	Klondike Reef	114	LS04-2-05	Humper	13	422	1.38063	13	1.38063	422	16.61417323	422
9	Klondike Reef	115	LS04-2-06	Humper	11	405	1.23928	1	0.33476	90.42571376	3.560067471	95.00456073
9	Klondike Reef	115	LS04-2-06	Humper	11	405	1.23928	2	0.45966	133.86348	5.27021575	139.6470137
9	Klondike Reef	115	LS04-2-06	Humper	11	405	1.23928	3	0.60605	184.7750461	7.274608115	190.9390404
9	Klondike Reef	115	LS04-2-06	Humper	11	405	1.23928	4	0.69325	215.101493	8.468562718	221.0806886
9	Klondike Reef	115	LS04-2-06	Humper	11	405	1.23928	5	0.81328	256.845569	10.11203028	262.1587424
9	Klondike Reef	115	LS04-2-06	Humper	11	405	1.23928	6	0.86457	274.6832234	10.81430013	279.583456
9	Klondike Reef	115	LS04-2-06	Humper	11	405	1.23928	7	0.92946	297.2506906	11.70278309	301.5291391
9	Klondike Reef	115	LS04-2-06	Humper	11	405	1.23928	8	1.02942	332.0148148	13.0714494	335.1358597
9	Klondike Reef	115	LS04-2-06	Humper	11	405	1.23928	9	1.09085	353.378962	13.91255756	355.6781679
9	Klondike Reef	115	LS04-2-06	Humper	11	405	1.23928	10	1.16041	377.5705634	14.86498281	378.8452193
9	Klondike Reef	115	LS04-2-06	Humper	11	405	1.23928	11	1.23928	405	15.94488189	405
9	Klondike Reef	116	LS04-2-07	Humper	10	369	1.34739	1	0.41647	101.8528241	4.009953705	112.165164
9	Klondike Reef	116	LS04-2-07	Humper	10	369	1.34739	2	0.59002	151.6566659	5.970734877	163.5526019
9	Klondike Reef	116	LS04-2-07	Humper	10	369	1.34739	3	0.71816	188.4291481	7.418470396	200.1166225
9	Klondike Reef	116	LS04-2-07	Humper	10	369	1.34739	4	0.83354	221.5398785	8.72204246	232.2639919
9	Klondike Reef	116	LS04-2-07	Humper	10	369	1.34739	5	0.96989	260.6683937	10.26253519	269.4684451
9	Klondike Reef	116	LS04-2-07	Humper	10	369	1.34739	6	1.06473	287.8847369	11.33404476	294.9137597
9	Klondike Reef	116	LS04-2-07	Humper	10	369	1.34739	7	1.1384	309.0259009	12.16637405	314.4612282
9	Klondike Reef	116	LS04-2-07	Humper	10	369	1.34739	8	1.22072	332.6493654	13.09643171	336.0971737
9	Klondike Reef	116	LS04-2-07	Humper	10	369	1.34739	9	1.27972	349.5806628	13.76301822	351.4787995
9	Klondike Reef	116	LS04-2-07	Humper	10	369	1.34739	10	1.34739	369	14.52755906	369
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	1	0.39275	90.38262186	3.55837094	101.7176522
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	2	0.529	126.9974185	4.999898368	140.4517634
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	3	0.66291	162.9833813	6.416668555	176.9654988
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	4	0.76201	189.6147673	7.465148321	203.2146583
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	5	0.85021	213.3169697	8.398305893	226.115058
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	6	0.91272	230.1154353	9.059662807	242.1123585
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	7	0.99632	252.5814683	9.944152297	263.2346206
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	8	1.06611	271.3363062	10.68253174	280.6490215
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	9	1.13345	289.4327496	11.39499014	297.2785861
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	10	1.2198	312.6377969	12.30857468	318.3721143
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	11	1.27149	326.5285773	12.8554558	330.8831118
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	12	1.32039	339.6695943	13.37281867	342.6435435
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	13	1.35147	348.0217989	13.70164563	350.0817057
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	14	1.38388	356.7314177	14.044544	357.8088727
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	15	1.40746	363.0681289	14.29402082	363.4124605
9	Klondike Reef	117	LS04-2-08	Humper	16	366	1.41837	16	1.41837	366	14.40944882	366
9	Klondike Reef	118	LS04-2-09	Humper	12	441	1.27692	1	0.33983	96.26416103	3.7899276	99.58354839
9	Klondike Reef	118	LS04-2-09	Humper	12	441	1.27692	2	0.52839	165.6314468	6.520923101	170.0408033
9	Klondike Reef	118	LS04-2-09	Humper	12	441	1.27692	3	0.64676	209.1772975	8.235326673	213.6626285
9	Klondike Reef	118	LS04-2-09	Humper	12	441	1.27692	4	0.76949	254.3271012	10.012878	258.513929
9	Klondike Reef	118	LS04-2-09	Humper	12	441	1.27692	5	0.87434	292.8992263	11.5314656	296.5752022
9	Klondike Reef	118	LS04-2-09	Humper	12	441	1.27692	6	0.97135	328.5871791	12.93650312	331.6079869
9	Klondike Reef	118	LS04-2-09	Humper	12	441	1.27692	7	1.05787	360.4160801	14.18960945	362.7199946
9	Klondike Reef	118	LS04-2-09	Humper	12	441	1.27692	8	1.12245	384.1737133	15.12494934	385.8677979
9	Klondike Reef	118	LS04-2-09	Humper	12	441	1.27692	9	1.1763	403.9840035	15.90488203	405.1238733
9	Klondike Reef	118	LS04-2-09	Humper	12	441	1.27692	10	1.22224	420.88437	16.57025079	421.5201825
9	Klondike Reef	118	LS04-2-09	Humper	12	441	1.27692	11	1.25493	432.9103383	17.04371411	433.1706171
9	Klondike Reef	118	LS04-2-09	Humper	12	441	1.27692	12	1.27692	441	17.36220472	441
9	Klondike Reef	119	LS04-2-10	Humper	11	381	1.3473	1	0.36647	89.7837621	3.534793783	98.51717725
9	Klondike Reef	119	LS04-2-10	Humper	11	381	1.3473	2	0.5371	140.4451679	5.52933732	151.3748468
9	Klondike Reef	119	LS04-2-10	Humper	11	381	1.3473	3	0.65837	176.4511967	6.946897506	187.6158115
9	Klondike Reef	119	LS04-2-10	Humper	11	381	1.3473	4	0.76578	208.342081	8.202444135	219.0101386
9	Klondike Reef	119	LS04-2-10	Humper	11	381	1.3473	5	0.86543	237.9289596	9.367281874	247.6403372
9	Klondike Reef	119	LS04-2-10	Humper	11	381	1.3473	6	0.97957	271.8180346	10.70149742	279.9280017
9	Klondike Reef	119	LS04-2-10	Humper	11	381	1.3473	7	1.09422	305.8585326	12.04167451	311.8844561
9	Klondike Reef	119	LS04-2-10	Humper	11	381	1.3473	8	1.1735	329.3973959	12.96840141	333.7333838
9	Klondike Reef	119	LS04-2-10	Humper	11	381	1.3473	9	1.25522	353.6607147	13.92365019	356.0606253
9	Klondike Reef	119	LS04-2-10	Humper	11	381	1.3473	10	1.30805	369.3463624	14.54119537	370.3965313
9	Klondike Reef	119	LS04-2-10	Humper	11	381	1.3473	11	1.3473	381	15	381
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	1	0.3572	96.30975815	3.791722762	102.0298368
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	2	0.50446	146.2393689	5.757455469	153.4452319
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	3	0.63915	191.9070266	7.555394748	199.4657326
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	4	0.75044	229.6407383	9.040973948	236.9308496
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	5	0.83516	258.3656916	10.17187762	265.1666744
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	6	0.91684	286.05991	11.26220118	292.1843164
9	Klondike Reef	120	LS04-2-11	Humper	15	430	1.34137	7	1.00147	314.7543481	12.39190347	319.9862613
